is_squeezed,energy_level,momentum,prev_momentum,squeeze_on,fired,Signal,Close,timestamp,ma20,ma20_slope,ma20_converging,close_above_ma20,volume_expansion_ratio,volume_expansion,rs_ratio,rs_index,rs_ema20,rs_ema60,rs_slope_1d,rs_slope_5d,rs_slope_20d,rs_slope,rs_above_ema20,rs_above_ema60,rs_ema20_above_ema60,rs_new_high_60,rs_new_high_120,rs_rising_10,rs_percentile_60,rs_high_price_not_high,price_dist_to_high_60,rs_signal,ticker,name,marketCap,trailingPE,priceToBook,dividendYield,averageVolume,sector,value_score,ranking_score,ranking_score_version,feature_schema_version,feature_schema_date,rs_component_score,experimental_score,shadow_score_ma20,shadow_score_rs,composite_score,composite_score_v2,score_version,rank_position_v1,ranking_percentile_v1,rank_position,ranking_percentile,rank_position_v2,ranking_percentile_v2,benchmark_symbol,benchmark_source,benchmark_period,benchmark_last_date,scan_id,has_houyi,has_whale
True,0,-0.40166664123535156,-0.3233331044514974,True,False,賣出 (動能轉弱),24.459999084472656,2026-08-03 00:00:00,24.799499893188475,-0.03800001144409393,False,False,3.066515172594407,True,0.0005637709825814913,66.42944288905512,0.0005707121446813755,0.0005800840650446785,-0.12786033013797438,2.0847958649460097,3.1025970097110056,-0.12786033013797438,False,False,False,False,False,False,0.3371025885009591,False,-0.05450335172090104,中性,0061.TW,元大寶滬深,nan,20.028118,nan,0.0,306391,nan,0.3392197252446019,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,151,0.5867768595041323,151,0.5867768595041323,180,0.5068870523415978,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,False
True,0,0.18098576863606766,0.11700121561686196,True,False,買入 (動能增強),32.70000076293945,2026-08-03 00:00:00,32.957442665100096,-0.07171688079834126,False,False,0.7199564981446498,False,0.000753692242459679,41.97170186084429,0.0007586854484448446,0.0007715165088541035,-0.06922984467334636,2.732504582897999,4.307667241739965,-0.06922984467334636,False,False,False,False,False,False,0.46011361750849,False,-0.042020372565743425,中性,1102.TW,亞泥,115972612096.0,10.936455,0.654694,6.97,19040181,Basic Materials,0.9110111436346187,4,v1,phase6a,2026-07-12,0,4,4,4,4,4,v1,2,0.9972451790633609,2,0.9972451790633609,14,0.9641873278236914,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,True
True,0,0.23653841018676758,0.26858806610107416,True,False,觀望 (動能減弱),13.149999618530273,2026-08-03 00:00:00,13.084806680679321,-0.0035250663757331324,False,True,0.5136000188738968,False,0.0003030902895900448,37.76527544846607,0.000302065418305083,0.0003061852736293974,0.03572727109930618,3.196682792978689,5.915938957699063,0.03572727109930618,True,False,False,False,False,False,0.5309566146357811,False,-0.02230484721109105,中性,1103.TW,嘉泥,8662628352.0,16.645569,0.47717538,3.98,403542,Basic Materials,0.7371871450631691,2,v1,phase6a,2026-07-12,0,2,3,2,2,2,v1,32,0.9146005509641874,32,0.9146005509641874,56,0.8484848484848485,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,True
True,0,-0.12500031789143878,-0.16666698455810544,True,False,觀察 (跌勢收斂),26.899999618530273,2026-08-03 00:00:00,26.872500038146974,-0.03249998092651296,False,True,0.6636029015163648,False,0.0006200098031077874,46.29096678351629,0.0006182590954710328,0.0006311228891146083,0.02981597231879185,2.872241604500969,4.532724739273375,0.02981597231879185,True,False,False,False,False,False,0.4567314336232762,False,-0.023593453231602557,中性,1104.TW,環泥,18471739392.0,10.54902,0.7393969,6.9,914650,Basic Materials,0.9009426643692761,1,v1,phase6a,2026-07-12,0,1,2,1,1,1,v1,88,0.7603305785123967,88,0.7603305785123967,119,0.6749311294765841,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,False
True,2,-6.938893903907228e-18,0.033845265706380204,True,False,賣出 (動能轉弱),13.699999809265137,2026-08-03 00:00:00,13.794692945480346,-0.009539270401001332,False,False,0.7824465733992579,False,0.0003157670745269436,41.366910238335365,0.0003174025649753878,0.000325901038666927,-0.05420988430662188,2.6884602169641614,5.313411682920721,-0.05420988430662188,False,False,False,False,False,False,0.47767650306698717,False,-0.05827569716518877,中性,1109.TW,信大,4673876992.0,17.341772,0.55228573,6.52,180627,Basic Materials,0.8150275622395936,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,152,0.5840220385674931,152,0.5840220385674931,181,0.5041322314049587,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,False
True,0,0.21666638056437174,0.28333314259847003,True,False,觀望 (動能減弱),16.0,2026-08-03 00:00:00,15.897640895843505,0.019953012466430664,False,True,0.20727434319932345,False,0.0003687790702751915,35.646708961826825,0.000365398224151142,0.0003627055179683148,0.09748965939204712,3.5654340449664312,9.893908259962414,0.09748965939204712,True,True,True,False,False,False,0.6215464536215356,False,-0.00928790229556209,偏強 (RS上升),1110.TW,東泥,9127407616.0,44.444443,0.9625797,1.86,289406,Basic Materials,0.43046459926070774,2,v1,phase6a,2026-07-12,1,3,4,3,2,3,v1,33,0.9118457300275482,33,0.9118457300275482,37,0.9008264462809917,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,True
True,1,-0.083465576171875,-0.00901889801025391,True,False,賣出 (動能轉弱),12.199999809265137,2026-08-03 00:00:00,12.33478856086731,-0.01445851325988734,False,False,0.5696495580376683,False,0.0002811940366886444,33.163615181152174,0.0002833177045942046,0.00029142615543887066,-0.07884002457320127,2.4077026444265126,5.827456442174728,-0.07884002457320127,False,False,False,False,False,False,0.45764647324573016,False,-0.023153681427481865,中性,1201.TW,味全,6173968384.0,32.105263,0.79406404,1.72,492661,Consumer Defensive,0.4778793297175327,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,153,0.581267217630854,153,0.581267217630854,182,0.5013774104683195,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,False
True,0,-0.5833333333333333,0.01666641235351557,True,False,賣出 (動能轉弱),56.0,2026-08-03 00:00:00,57.395000267028806,-0.13999996185302876,False,False,0.929279102963507,False,0.0012907267459631702,52.317091382703104,0.0013126376906489666,0.001306483486999838,-0.17540024855596803,2.4527217823027136,7.537112812658897,-0.17540024855596803,False,False,True,False,False,False,0.49709095712774654,False,-0.047619035261751486,中性,1210.TW,大成,46855610368.0,12.962962,1.8628788,5.36,3420650,Consumer Defensive,0.6824820133777662,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,154,0.5785123966942148,154,0.5785123966942148,183,0.4986225895316804,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,False
True,1,-0.04166682561238606,-0.01166693369547526,True,False,賣出 (動能轉弱),9.850000381469727,2026-08-03 00:00:00,9.968499851226806,-0.01749997138977122,False,False,1.3025400933082552,False,0.00022702962393054296,41.79716504134038,0.00022905060885952862,0.00023273022160473348,-0.09279078454678125,2.6761491520618907,5.544119099904532,-0.09279078454678125,False,False,False,False,False,False,0.47204362747010625,False,-0.03431367003335528,中性,1217.TW,愛之味,4870957056.0,20.520834,0.6565354,2.51,674851,Consumer Defensive,0.6046890725211437,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,156,0.5730027548209367,156,0.5730027548209367,185,0.4931129476584022,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,False
True,0,-1.1904525756835938,-0.8878949483235676,True,False,賣出 (動能轉弱),73.0,2026-08-03 00:00:00,75.15539741516113,-0.0907672882080135,False,False,0.7636011760350245,False,0.001682554508130561,46.636931946819814,0.0017149938483943315,0.0017100346713921947,-0.19871103784744326,2.63922711836837,8.363604839710415,-0.19871103784744326,False,False,True,False,False,False,0.4689318699986728,False,-0.05464225124284838,中性,1216.TW,統一,414787108864.0,19.783197,2.8666797,4.07,17994659,Consumer Defensive,0.471108455439792,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,155,0.5757575757575758,155,0.5757575757575758,184,0.49586776859504134,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,False
